# file...... house1_data.csv
# date...... Tue Oct 24 14:47:55 2017
# user...... nomad
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,house1:air_temperature, house1:outdoor_temperature, house1:is_COOL_on, house1:cooling_setpoint, house1_meter:measured_real_power, house1_meter:measured_real_energy
2017-10-24 01:42:00 EDT,+67.424,+54.25,+0,+65,+4445,+10216.3
2017-10-24 01:43:00 EDT,+67.4294,+54.184,+0,+65,+4445,+10290.4
2017-10-24 01:44:00 EDT,+67.4373,+54.118,+0,+65,+4445,+10364.5
2017-10-24 01:45:00 EDT,+67.4472,+54.052,+0,+65,+4445,+10438.5
2017-10-24 01:46:00 EDT,+67.4585,+53.986,+0,+65,+4445,+10512.6
2017-10-24 01:47:00 EDT,+67.4707,+53.92,+0,+65,+4445,+10586.7
2017-10-24 01:48:00 EDT,+67.4836,+53.854,+0,+65,+4445,+10660.8
2017-10-24 01:49:00 EDT,+67.4969,+53.788,+0,+65,+4445,+10734.9
2017-10-24 01:50:00 EDT,+67.5104,+53.722,+0,+65,+4445,+10809
2017-10-24 01:51:00 EDT,+67.524,+53.656,+0,+65,+4445,+10883
2017-10-24 01:52:00 EDT,+67.5376,+53.59,+0,+65,+4445,+10957.1
2017-10-24 01:53:00 EDT,+67.551,+53.524,+0,+65,+4445,+11031.2
2017-10-24 01:54:00 EDT,+67.5642,+53.458,+0,+65,+4445,+11105.3
2017-10-24 01:55:00 EDT,+67.5772,+53.392,+0,+65,+4445,+11179.4
2017-10-24 01:56:00 EDT,+67.5899,+53.326,+0,+65,+4445,+11253.5
2017-10-24 01:57:00 EDT,+67.6023,+53.26,+0,+65,+4445,+11327.5
2017-10-24 01:58:00 EDT,+67.6144,+53.194,+0,+65,+4445,+11401.6
2017-10-24 01:59:00 EDT,+67.6262,+53.128,+0,+65,+4445,+11475.7
2017-10-24 02:00:00 EDT,+67.6375,+53.062,+0,+65,+4445,+11549.8
2017-10-24 02:01:00 EDT,+67.6486,+53.095,+0,+65,+4445,+11623.9
2017-10-24 02:02:00 EDT,+67.6618,+53.128,+0,+65,+4445,+11698
2017-10-24 02:03:00 EDT,+67.6767,+53.161,+0,+65,+4445,+11772
2017-10-24 02:04:00 EDT,+67.693,+53.194,+0,+65,+4445,+11846.1
2017-10-24 02:05:00 EDT,+67.7103,+53.227,+0,+65,+4445,+11920.2
2017-10-24 02:06:00 EDT,+67.7284,+53.26,+0,+65,+4445,+11994.3
2017-10-24 02:07:00 EDT,+67.7471,+53.293,+0,+65,+4445,+12068.4
2017-10-24 02:08:00 EDT,+67.7664,+53.326,+0,+65,+4445,+12142.5
2017-10-24 02:09:00 EDT,+67.7861,+53.359,+0,+65,+4445,+12216.5
2017-10-24 02:10:00 EDT,+67.8061,+53.392,+0,+65,+4445,+12290.6
